pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.164,-0.2991,-0.0401,-0.1676,-0.1691,-0.1662,312.9509,386.4861,0.5006,-0.6328,0.8483,-6.1295,-124.3249,112.0659,3002.065,26997.94,0,0.97
0.2,-0.2964,-0.4238,-0.1693,-0.2794,-0.281,-0.2777,381.3721,460.0053,0.5912,-0.5432,0.8144,-1.5441,-2.2447,-0.8435,6001.185,23998.81,0,0.945
0.3,-0.3691,-0.51,-0.2109,-0.3585,-0.36,-0.357,412.6186,491.6764,0.5214,-0.3982,0.7522,-1.5325,-2.2061,-0.8588,9005.815,20994.19,0,0.95
0.4,-0.4268,-0.5618,-0.2642,-0.41,-0.4112,-0.4088,469.9681,549.1705,0.5534,-0.4292,0.7646,-1.307,-1.9085,-0.7055,12002.995,17997.01,0,0.915
0.5,-0.4489,-0.5865,-0.2782,-0.4338,-0.4348,-0.4328,450.0411,528.7189,0.5617,-0.3804,0.7632,-0.8768,-1.4613,-0.2923,14999.58,15000.42,0,0.925
0.6,-0.4523,-0.5926,-0.2828,-0.4311,-0.4321,-0.4301,435.7946,514.8446,0.5708,-0.3478,0.7692,-1.5574,-2.1374,-0.9774,17858.815,12141.18,0,0.92
0.7,-0.4301,-0.5817,-0.256,-0.416,-0.4172,-0.4149,388.8587,468.3747,0.5431,-0.3698,0.7789,-1.5724,-2.1932,-0.9516,20310.04,9689.96,0,0.945
0.8,-0.3828,-0.5412,-0.2172,-0.3905,-0.3918,-0.3891,422.264,502.0485,0.5129,-0.3783,0.7853,-4.4052,-5.0622,-3.7482,23041.42,6958.58,0,0.96
0.9,-0.2929,-0.4676,-0.1478,-0.3538,-0.3553,-0.3524,316.8137,392.7057,0.5592,-0.5259,0.8048,-1.5298,-2.2907,-0.769,26187.89,3812.11,0,0.92
