pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.1758,-0.311,-0.0551,-0.1677,-0.1691,-0.1662,333.8687,407.4147,0.5631,-0.6908,0.858,-4.3076,-189.9102,181.295,2997.76,27002.24,0,0.97
0.2,-0.2935,-0.418,-0.1708,-0.2793,-0.2809,-0.2776,351.2306,429.0722,0.5963,-0.5413,0.8234,-1.5831,-2.2844,-0.8818,6003.39,23996.61,0,0.94
0.3,-0.3701,-0.5043,-0.219,-0.3551,-0.3566,-0.3536,386.9446,466.2781,0.5599,-0.4111,0.769,-1.5447,-2.192,-0.8974,8847.055,21152.945,0,0.94
0.4,-0.4048,-0.5367,-0.2507,-0.3815,-0.3829,-0.3801,429.7257,508.3394,0.582,-0.4488,0.7854,-1.559,-2.1657,-0.9523,10392.14,19607.86,0,0.945
0.5,-0.4214,-0.5566,-0.2583,-0.402,-0.4033,-0.4008,409.074,485.9069,0.5445,-0.3857,0.7556,-1.5405,-2.1442,-0.9369,12151.59,17848.41,0,0.955
0.6,-0.4591,-0.5949,-0.2926,-0.4175,-0.4186,-0.4163,402.2022,479.7943,0.5909,-0.3841,0.7898,-1.622,-2.2096,-1.0344,14217.85,15782.15,0,0.955
0.7,-0.4669,-0.5996,-0.3028,-0.4285,-0.4295,-0.4274,434.0239,513.4276,0.6053,-0.3978,0.7923,-0.8541,-1.4445,-0.2636,16693.47,13306.53,0,0.93
0.8,-0.4482,-0.5949,-0.2742,-0.4359,-0.4369,-0.4349,380.5537,460.4334,0.5569,-0.3995,0.7584,-1.59,-2.2008,-0.9791,19807.05,10192.95,0,0.875
0.9,-0.4085,-0.5769,-0.2373,-0.4407,-0.4416,-0.4397,340.5645,418.2143,0.5949,-0.436,0.8036,-1.6924,-2.3733,-1.0116,23953.995,6046.005,0,0.93
