pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.176,-0.3052,-0.0526,-0.168,-0.1694,-0.1665,341.0482,416.9943,0.5363,-0.6947,0.8627,-4.165,-138.4055,130.0755,2994.9,27005.1,0,0.965
0.2,-0.3068,-0.4318,-0.182,-0.2794,-0.281,-0.2777,356.5347,434.4627,0.616,-0.5236,0.8119,-1.5993,-2.2871,-0.9116,5997.41,24002.59,0,0.95
0.3,-0.3698,-0.507,-0.2157,-0.3587,-0.3601,-0.3572,386.4089,464.5501,0.5177,-0.3777,0.7583,-1.5473,-2.2066,-0.8879,9002.56,20997.44,0,0.925
0.4,-0.4314,-0.5625,-0.2732,-0.408,-0.4092,-0.4067,405.1569,481.4389,0.5672,-0.4415,0.7797,-1.5517,-2.1278,-0.9756,11876.67,18123.335,0,0.96
0.5,-0.4489,-0.5804,-0.2858,-0.4236,-0.4247,-0.4225,408.8331,488.0854,0.5688,-0.4373,0.7762,-1.5591,-2.1364,-0.9817,13737.48,16262.525,0,0.93
0.6,-0.4424,-0.5902,-0.2614,-0.4328,-0.4338,-0.4318,406.4811,485.6216,0.5098,-0.3522,0.7347,-1.5175,-2.1332,-0.9019,15853.1,14146.9,0,0.915
0.7,-0.4739,-0.6053,-0.313,-0.436,-0.437,-0.4351,442.3876,521.5633,0.6213,-0.3954,0.8083,-1.5039,-2.0575,-0.9503,18307.42,11692.58,0,0.925
0.8,-0.4378,-0.5904,-0.2636,-0.434,-0.435,-0.433,379.1129,455.8724,0.5636,-0.4002,0.7706,-1.6087,-2.2344,-0.983,21264.71,8735.29,0,0.91
0.9,-0.3828,-0.5482,-0.224,-0.4271,-0.4282,-0.4261,357.5813,433.8186,0.6134,-0.4047,0.8168,-1.7034,-2.381,-1.0258,24969.74,5030.265,0,0.895
