pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.1801,-0.3047,-0.0487,-0.1678,-0.1693,-0.1664,375.5944,450.3521,0.5681,-0.6501,0.8621,-6.1103,-193.876,181.6552,2998.445,27001.555,0,0.945
0.2,-0.2903,-0.4191,-0.1608,-0.2794,-0.2811,-0.2778,398.9387,476.0552,0.5561,-0.5001,0.8017,-1.52,-2.2357,-0.8042,5993.71,24006.29,0,0.925
0.3,-0.3691,-0.5045,-0.218,-0.3587,-0.3602,-0.3572,389.1262,467.8444,0.552,-0.4046,0.7738,-1.5226,-2.1604,-0.8848,9003.56,20996.44,0,0.94
0.4,-0.4054,-0.5565,-0.2248,-0.4099,-0.4112,-0.4087,440.9631,518.4054,0.4655,-0.3515,0.7161,-1.4386,-2.0917,-0.7854,11996.77,18003.23,0,0.95
0.5,-0.4398,-0.5801,-0.2701,-0.4328,-0.4338,-0.4318,449.6676,528.8525,0.5315,-0.3047,0.7446,-1.5807,-2.1629,-0.9984,14808.815,15191.185,0,0.91
0.6,-0.4542,-0.5885,-0.2913,-0.4356,-0.4366,-0.4346,476.3579,553.8948,0.5709,-0.2978,0.7643,-0.3619,-0.9182,0.1943,16962.415,13037.585,0,0.875
0.7,-0.4219,-0.5637,-0.2543,-0.4309,-0.4319,-0.4298,420.0936,502.49,0.516,-0.3639,0.7463,-1.473,-2.0522,-0.8938,19397.975,10602.025,0,0.87
0.8,-0.4058,-0.5667,-0.2243,-0.4187,-0.4198,-0.4176,406.4042,485.226,0.5191,-0.3282,0.7586,-2.6673,-48.7283,43.3938,22219.795,7780.205,0,0.93
0.9,-0.3358,-0.5009,-0.188,-0.3997,-0.4009,-0.3984,394.3073,470.8226,0.5777,-0.4579,0.8094,-1.6324,-2.3345,-0.9304,25634.995,4365.005,0,0.88
