pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.1753,-0.3153,-0.0338,-0.1679,-0.1693,-0.1664,335.8175,409.6804,0.5247,-0.6587,0.8567,-6.515,-192.7967,179.7665,2993.58,27006.42,0,0.97
0.2,-0.3029,-0.4312,-0.1754,-0.2794,-0.2811,-0.2778,406.8996,485.1634,0.5764,-0.5086,0.8199,-1.5343,-2.2468,-0.8217,5999.135,24000.865,0,0.935
0.3,-0.375,-0.511,-0.2235,-0.3588,-0.3603,-0.3574,391.4981,468.0913,0.563,-0.4766,0.7708,-1.5597,-2.2065,-0.9129,8995.705,21004.295,0,0.96
0.4,-0.4224,-0.5632,-0.2547,-0.4099,-0.4111,-0.4087,410.701,489.3613,0.528,-0.3171,0.7434,-1.5169,-2.1223,-0.9115,11999.28,18000.72,0,0.94
0.5,-0.4418,-0.5844,-0.2675,-0.4338,-0.4348,-0.4328,468.5729,546.0557,0.5431,-0.3555,0.7552,-1.5214,-2.1181,-0.9247,14997.46,15002.54,0,0.925
0.6,-0.4495,-0.5908,-0.2804,-0.4296,-0.4307,-0.4286,403.5904,481.5063,0.5383,-0.3634,0.7556,-1.5523,-2.1312,-0.9734,18004.34,11995.66,0,0.945
0.7,-0.4229,-0.5655,-0.2593,-0.3951,-0.3964,-0.3938,408.4099,484.9015,0.5789,-0.3573,0.771,-2.9343,-83.798,77.9294,20994.55,9005.45,0,0.89
0.8,-0.3487,-0.5052,-0.1972,-0.3344,-0.336,-0.3328,435.1822,513.3842,0.5574,-0.457,0.7923,-18.7203,-179.9352,142.4947,23908.335,6091.665,0,0.915
0.9,-0.2428,-0.4082,-0.1152,-0.25,-0.2516,-0.2484,373.3068,447.108,0.5314,-0.5417,0.8128,-2.66,-4.33,-0.9901,26830.365,3169.635,0,0.92
