pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.174,-0.3094,-0.027,-0.1677,-0.1692,-0.1662,320.1654,394.0355,0.4959,-0.6401,0.8477,-9.8751,-222.645,202.895,2997.04,27002.96,0,0.965
0.2,-0.2754,-0.4197,-0.1286,-0.2794,-0.2811,-0.2778,369.9897,446.6048,0.4605,-0.5052,0.7507,-1.4751,-2.2865,-0.6635,5991.71,24008.29,0,0.94
0.3,-0.3632,-0.4987,-0.2099,-0.3587,-0.3602,-0.3572,388.6241,466.5139,0.52,-0.4315,0.7504,-1.4921,-2.13,-0.8542,9000.21,20999.79,0,0.91
0.4,-0.4209,-0.5569,-0.2576,-0.4099,-0.4111,-0.4087,406.8585,485.4379,0.5555,-0.3251,0.7606,-1.5217,-2.1171,-0.9263,12002.55,17997.45,0,0.925
0.5,-0.4537,-0.5895,-0.2854,-0.4338,-0.4348,-0.4328,436.1979,514.9872,0.5595,-0.3953,0.7628,-1.5494,-2.126,-0.9726,14996.07,15003.935,0,0.92
0.6,-0.4394,-0.5965,-0.2604,-0.4296,-0.4306,-0.4285,457.4142,533.122,0.4887,-0.3293,0.742,-1.4001,-12.0567,9.2565,18002.84,11997.16,0,0.93
0.7,-0.4235,-0.5674,-0.2599,-0.3999,-0.4012,-0.3986,427.7072,504.2481,0.5491,-0.3992,0.7627,-1.5948,-2.185,-1.0045,20870.03,9129.975,0,0.94
0.8,-0.3584,-0.5127,-0.2054,-0.3596,-0.3611,-0.3582,381.0872,459.8482,0.5617,-0.4293,0.768,-1.5375,-2.1846,-0.8903,23583.47,6416.535,0,0.905
0.9,-0.2547,-0.4248,-0.1223,-0.3013,-0.3029,-0.2997,399.2514,476.8236,0.5501,-0.5148,0.8082,-1.7565,-5.3548,1.8417,26571.35,3428.655,0,0.9
