pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3324,-0.5238,-0.1708,-0.305,-0.3061,-0.304,343.0165,417.5192,0.5497,-0.5816,0.815,-1.5393,-2.3301,-0.7486,3001.72,26998.28,0,0.9
0.2,-0.4395,-0.6235,-0.2385,-0.4216,-0.4225,-0.4208,387.0109,465.2936,0.5557,-0.4748,0.7846,-1.5458,-2.2602,-0.8314,5996.27,24003.73,0,0.895
0.3,-0.4772,-0.639,-0.2779,-0.4743,-0.4748,-0.4738,397.8341,475.6036,0.5682,-0.5219,0.7859,-1.5012,-2.1411,-0.8613,9000.415,20999.585,0,0.91
0.4,-0.4634,-0.6171,-0.259,-0.4865,-0.4869,-0.4861,417.9606,496.3114,0.5366,-0.4574,0.7576,-1.4238,-2.0575,-0.79,12005.77,17994.23,0,0.895
0.5,-0.4586,-0.5961,-0.2684,-0.468,-0.4686,-0.4674,452.6883,530.9612,0.5172,-0.3868,0.7607,-1.4661,-2.091,-0.8412,15000.165,14999.835,0,0.93
0.6,-0.4283,-0.5509,-0.2575,-0.4291,-0.4299,-0.4283,474.6308,553.1923,0.5371,-0.404,0.7676,-2.6613,-3.7161,-1.6064,17855.82,12144.18,0,0.92
0.7,-0.3706,-0.4977,-0.2012,-0.3966,-0.3976,-0.3957,437.0716,517.1388,0.5255,-0.4637,0.7622,-1.4481,-2.1437,-0.7525,20296.07,9703.93,0,0.94
0.8,-0.2829,-0.4136,-0.1252,-0.3589,-0.3599,-0.3579,382.3593,460.6041,0.4507,-0.4798,0.7657,-1.3719,-2.1428,-0.6009,23023.565,6976.435,0,0.965
0.9,-0.1806,-0.31,-0.0215,-0.3164,-0.3174,-0.3153,362.3896,439.3047,0.4273,-0.5686,0.788,-7.647,-337.9571,322.6631,26173.255,3826.745,0,0.96
