pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3455,-0.553,-0.1695,-0.305,-0.3061,-0.3039,324.1726,399.5139,0.58,-0.4789,0.8381,21.2516,20.4166,22.0865,3000.115,26999.885,0,0.89
0.2,-0.447,-0.627,-0.2498,-0.4215,-0.4224,-0.4207,363.4434,440.6083,0.5674,-0.4424,0.7867,-1.5876,-2.2842,-0.8909,5993.245,24006.755,0,0.9
0.3,-0.4825,-0.6427,-0.2792,-0.4743,-0.4748,-0.4738,400.689,478.7514,0.5372,-0.4764,0.7759,-1.5195,-2.1574,-0.8817,9003.21,20996.79,0,0.91
0.4,-0.4773,-0.6206,-0.2819,-0.4865,-0.4868,-0.4861,477.3546,556.7422,0.544,-0.4362,0.7774,3.5978,2.9873,4.2082,11994.135,18005.865,0,0.915
0.5,-0.4746,-0.611,-0.2836,-0.468,-0.4686,-0.4674,428.146,503.8605,0.5521,-0.3864,0.7694,-1.5063,-2.1246,-0.888,15000.015,14999.985,0,0.945
0.6,-0.4347,-0.5583,-0.2647,-0.4241,-0.425,-0.4233,419.6655,498.3889,0.5807,-0.4326,0.7923,-1.5509,-2.1846,-0.9173,18004.825,11995.175,0,0.95
0.7,-0.3631,-0.4862,-0.2018,-0.3658,-0.3668,-0.3648,436.4655,513.4339,0.5414,-0.489,0.7754,-1.9701,-2.6616,-1.2786,20858.21,9141.79,0,0.955
0.8,-0.2716,-0.3999,-0.116,-0.3139,-0.3149,-0.3128,428.0347,504.3359,0.455,-0.4859,0.7579,9.5706,-71.5019,90.6431,23567.285,6432.715,0,0.945
0.9,-0.1584,-0.2786,0.0286,-0.2532,-0.2542,-0.2522,319.5441,396.0849,0.4199,-0.6694,0.8329,-8.3274,-508.8395,492.1846,26561.945,3438.055,0,0.98
