pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.345,-0.5246,-0.1882,-0.3048,-0.3059,-0.3038,322.7813,397.4602,0.6004,-0.6505,0.85,-1.6111,-5.7818,2.5597,3003.845,26996.155,0,0.93
0.2,-0.4364,-0.6207,-0.2346,-0.4214,-0.4223,-0.4206,364.5754,441.4959,0.5315,-0.4522,0.7713,-1.5281,-2.2371,-0.8191,5999.92,24000.08,0,0.915
0.3,-0.4681,-0.6347,-0.2617,-0.4743,-0.4748,-0.4738,395.6589,473.4271,0.532,-0.4956,0.7625,-1.4759,-2.1345,-0.8173,8997.93,21002.07,0,0.9
0.4,-0.4756,-0.6271,-0.2698,-0.4867,-0.4871,-0.4863,420.7284,499.9343,0.5011,-0.387,0.7471,-1.486,-2.1266,-0.8454,11877.91,18122.09,0,0.885
0.5,-0.4703,-0.6172,-0.2664,-0.4827,-0.4831,-0.4822,488.6665,565.1862,0.529,-0.4294,0.7586,19.4726,18.8328,20.1126,13720.85,16279.15,0,0.925
0.6,-0.4598,-0.596,-0.273,-0.4738,-0.4743,-0.4732,428.9705,506.7108,0.5146,-0.3736,0.746,-1.483,-2.0983,-0.8678,15808.18,14191.82,0,0.935
0.7,-0.429,-0.5575,-0.2584,-0.4612,-0.4618,-0.4606,452.4234,530.591,0.5345,-0.392,0.7531,-1.5204,-2.136,-0.9049,18272.395,11727.605,0,0.965
0.8,-0.3549,-0.4862,-0.1916,-0.4458,-0.4466,-0.4451,447.0599,525.3229,0.5005,-0.411,0.7486,1.0674,-0.1966,2.3314,21227.435,8772.565,0,0.94
0.9,-0.2327,-0.371,-0.0726,-0.4282,-0.4291,-0.4274,420.0447,495.6998,0.3584,-0.442,0.7196,-105.3038,-113.5248,-97.0828,24956.925,5043.075,0,0.945
