pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3457,-0.5314,-0.1832,-0.3049,-0.306,-0.3038,330.301,406.6944,0.5519,-0.6181,0.8308,-1.6043,-2.3815,-0.827,3003.805,26996.195,0,0.925
0.2,-0.4279,-0.6097,-0.2287,-0.4217,-0.4226,-0.4209,416.9614,492.3593,0.5345,-0.4555,0.784,-1.5073,-2.2007,-0.8139,5993.3,24006.7,0,0.905
0.3,-0.4789,-0.6457,-0.2699,-0.4743,-0.4748,-0.4738,394.119,472.6405,0.5198,-0.4166,0.7693,-1.5103,-2.1823,-0.8381,8995.2,21004.8,0,0.92
0.4,-0.4918,-0.6281,-0.3017,-0.4865,-0.4869,-0.4861,431.6622,508.3436,0.5923,-0.4666,0.7974,-1.5094,-2.0948,-0.9239,11999.145,18000.855,0,0.925
0.5,-0.4664,-0.6024,-0.2738,-0.4679,-0.4685,-0.4674,423.8936,502.8739,0.5561,-0.439,0.7687,-1.5009,-2.13,-0.8717,14989.185,15010.815,0,0.91
0.6,-0.4261,-0.5548,-0.2491,-0.4241,-0.4249,-0.4233,450.5566,528.9878,0.5362,-0.4331,0.7565,-1.5399,-2.1979,-0.8818,18002.775,11997.225,0,0.965
0.7,-0.3586,-0.4821,-0.2064,-0.3575,-0.3585,-0.3564,464.2155,543.3859,0.5922,-0.4915,0.7945,1.8303,-79.1279,82.7886,21006.405,8993.595,0,0.935
0.8,-0.2687,-0.3956,-0.1269,-0.2807,-0.2818,-0.2797,371.8058,448.0088,0.5201,-0.5487,0.8056,-1.37,-82.4577,79.7175,23903.37,6096.63,0,0.985
0.9,-0.1521,-0.2743,0.0223,-0.1977,-0.1986,-0.1967,366.9579,440.1123,0.4617,-0.604,0.8295,30.6354,-313.3877,374.6586,26827.81,3172.19,0,0.985
