pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3545,-0.5607,-0.1849,-0.3048,-0.3059,-0.3038,297.0135,371.8001,0.5968,-0.5629,0.8493,-1.6195,-2.4292,-0.8098,2999.01,27000.99,0,0.93
0.2,-0.4293,-0.6221,-0.222,-0.4216,-0.4224,-0.4207,356.7858,433.5809,0.514,-0.4728,0.7684,-1.5022,-2.237,-0.7675,5997.79,24002.21,0,0.92
0.3,-0.4772,-0.6366,-0.2788,-0.4744,-0.4749,-0.4739,395.5921,473.0687,0.5321,-0.4304,0.7655,-1.502,-2.1335,-0.8705,8994.44,21005.56,0,0.91
0.4,-0.4886,-0.6313,-0.2954,-0.4865,-0.4869,-0.4861,416.7164,496.2052,0.5583,-0.4372,0.7738,-1.512,-2.1141,-0.9099,12005.74,17994.26,0,0.925
0.5,-0.4653,-0.6053,-0.2719,-0.4711,-0.4717,-0.4706,454.5032,532.3201,0.5278,-0.4012,0.7575,-1.7392,-2.3724,-1.1061,14798.25,15201.75,0,0.91
0.6,-0.4414,-0.571,-0.2637,-0.4543,-0.4549,-0.4536,453.5035,531.6369,0.53,-0.4293,0.769,-4.3791,-5.0003,-3.758,16939.83,13060.17,0,0.9
0.7,-0.3959,-0.5261,-0.224,-0.4328,-0.4336,-0.432,415.6923,494.205,0.5228,-0.3634,0.7538,-1.4638,-2.129,-0.7985,19375.97,10624.03,0,0.93
0.8,-0.3054,-0.4516,-0.1191,-0.408,-0.4089,-0.4071,398.2878,477.0129,0.4076,-0.4232,0.7131,-1.3117,-2.1125,-0.5108,22208.11,7791.89,0,0.93
0.9,-0.2158,-0.3441,-0.0618,-0.3805,-0.3815,-0.3796,378.0611,456.7116,0.4565,-0.5299,0.7899,-7.4864,-200.3756,185.4028,25618.02,4381.98,0,0.97
