pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3277,-0.5242,-0.1677,-0.3049,-0.3059,-0.3038,292.6368,369.1583,0.5667,-0.5604,0.8291,-1.5702,-2.3914,-0.7489,3001.245,26998.76,0,0.93
0.2,-0.4315,-0.6119,-0.2315,-0.4213,-0.4222,-0.4205,391.8995,469.6763,0.5468,-0.4707,0.7829,-1.4788,-2.1878,-0.7699,6002.445,23997.56,0,0.905
0.3,-0.4681,-0.6357,-0.2553,-0.4724,-0.4729,-0.4718,423.926,502.7091,0.529,-0.4093,0.7659,-1.4733,-2.1498,-0.7969,8846.015,21153.99,0,0.865
0.4,-0.5102,-0.6561,-0.3121,-0.4823,-0.4827,-0.4819,410.905,489.2365,0.5927,-0.4068,0.808,-1.5779,-2.1897,-0.9661,10370.91,19629.09,0,0.92
0.5,-0.4812,-0.6333,-0.2794,-0.4864,-0.4867,-0.486,451.9741,527.7227,0.521,-0.3954,0.7449,-1.4842,-2.1095,-0.8591,12116.87,17883.13,0,0.925
0.6,-0.4809,-0.6118,-0.2996,-0.4859,-0.4863,-0.4855,494.8875,573.5685,0.5618,-0.421,0.7647,4.6812,3.7589,5.6035,14169.08,15830.92,0,0.925
0.7,-0.4412,-0.5755,-0.2596,-0.482,-0.4824,-0.4815,471.6056,549.3364,0.5241,-0.3749,0.7403,-1.3105,-1.9131,-0.708,16640.655,13359.34,0,0.9
0.8,-0.3868,-0.5204,-0.2177,-0.4754,-0.4759,-0.4749,422.7222,500.6793,0.4603,-0.3738,0.72,-1.4158,-2.0522,-0.7793,19764.81,10235.19,0,0.925
0.9,-0.2696,-0.4143,-0.1052,-0.4669,-0.4675,-0.4663,398.1234,477.9489,0.3506,-0.4014,0.6876,-1.3189,-2.0982,-0.5396,23931.32,6068.68,0,0.92
