pb,average_results.AT,average_results.low_AT_ci,average_results.up_AT_ci,average_results.AAT,average_results.low_AAT_ci,average_results.up_AAT_ci,average_results.AIC,average_results.BIC,average_results.tau,average_results.low_tau_ci,average_results.up_tau_ci,average_results.y1,average_results.low_y1_ci,average_results.up_y1_ci,average_results.0_y2,average_results.1_y2,average_results.na_y2,average_results.true_tau
0.1,-0.3283,-0.5293,-0.1643,-0.305,-0.306,-0.3039,348.9825,424.65,0.5433,-0.5796,0.8304,-1.5692,-2.4006,-0.7379,2999.91,27000.09,0,0.925
0.2,-0.412,-0.6032,-0.2084,-0.4213,-0.4222,-0.4205,367.0005,444.6216,0.4908,-0.4477,0.7624,0.4486,-0.2771,1.1743,6003.595,23996.405,0,0.905
0.3,-0.4841,-0.6487,-0.276,-0.4744,-0.4749,-0.4739,434.738,513.7114,0.5543,-0.3921,0.7742,-1.5492,-2.2037,-0.8946,8995.95,21004.05,0,0.91
0.4,-0.5101,-0.6445,-0.3217,-0.4865,-0.4869,-0.4861,440.8244,520.5001,0.608,-0.4844,0.8009,-1.5793,-2.1705,-0.9881,11999.21,18000.79,0,0.935
0.5,-0.4801,-0.6116,-0.2952,-0.4679,-0.4685,-0.4674,426.8075,503.5622,0.5919,-0.4562,0.7994,-1.542,-2.1498,-0.9342,15001.065,14998.935,0,0.95
0.6,-0.4127,-0.5485,-0.227,-0.4242,-0.425,-0.4233,457.7519,533.9003,0.4998,-0.3492,0.7306,-1.4432,-2.1113,-0.7752,18004.335,11995.665,0,0.9
0.7,-0.3551,-0.4756,-0.1995,-0.3574,-0.3584,-0.3564,443.0901,521.2388,0.5267,-0.4357,0.7478,-1.6761,-2.3672,-0.985,21003.24,8996.76,0,0.93
0.8,-0.2548,-0.3779,-0.1015,-0.2686,-0.2697,-0.2676,425.6615,502.4667,0.4546,-0.4924,0.762,-2.3835,-5.3573,0.5902,24004.225,5995.775,0,0.96
0.9,-0.1417,-0.2542,0.0989,-0.1568,-0.1577,-0.1559,383.7237,458.9314,0.4914,-0.6897,0.8805,-19.3069,-807.592,768.9783,26994.85,3005.15,0,0.98
